Patch ID,Bulletin ID,Patch Description,Patch Status,Computer Name,KB Number,Release Date,Vendor
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3TELP4,4025218,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3BRZP2,4025218,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3TELP2,4025218,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3SECP1,4025218,"Jun 15, 2017",Microsoft
22698,MS17-JUN6,Security Update for Windows Server 2003 (KB4025218),Missing,T3FILP3,4025218,"Jun 15, 2017",Microsoft
22700,MS17-JUN6,Security Update for Windows Server 2003 for x64-based Systems (KB4025218),Missing,T3TSMP1,4025218,"Jun 15, 2017",Microsoft
22701,MS17-JUN6,Security Update for Windows Server 2003 for x64-based Systems (KB4024323),Missing,T3TSMP1,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3APPP1,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3FILP1,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3TELP4,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3TELP2,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3SECP1,4024323,"Dec 18, 2019",Microsoft
22706,MS17-JUN6,Security Update for Windows Server 2003 (KB4024323),Missing,T3FILP3,4024323,"Dec 18, 2019",Microsoft
22734,MS17-JUL2,Security Update for Windows Server 2008 (KB4025397),Missing,T8CTSP1,4025397,"Jul 11, 2017",Microsoft
22736,MS17-JUL2,Security Update for Windows Server 2008 (KB4025497),Missing,T8CTSP1,4025497,"Jul 11, 2017",Microsoft
22742,MS17-JUL2,Security Update for Windows Server 2008 (KB4025398),Missing,T8CTSP1,4025398,"Jul 11, 2017",Microsoft
22744,MS17-JUL2,Security Update for Windows Server 2008 (KB4025409),Missing,T8CTSP1,4025409,"Jul 11, 2017",Microsoft
22746,MS17-JUL2,Security Update for Windows Server 2008 (KB4022748),Missing,T8CTSP1,4022748,"Jul 11, 2017",Microsoft
22750,MS17-JUL2,Security Update for Windows Server 2008 (KB4022914),Missing,T8CTSP1,4022914,"Jul 11, 2017",Microsoft
22754,MS17-JUL2,Security Update for Windows Server 2008 (KB4026061),Missing,T8CTSP1,4026061,"Jul 11, 2017",Microsoft
22889,MS17-AUG1,Security Update for Windows Server 2008 (KB4022750),Missing,T8CTSP1,4022750,"Aug 8, 2017",Microsoft
22891,MS17-AUG1,Security Update for Windows Server 2008 (KB4034775),Missing,T8CTSP1,4034775,"Aug 8, 2017",Microsoft
22897,MS17-AUG1,Security Update for Windows Server 2008 (KB4035679),Missing,T8CTSP1,4035679,"Aug 8, 2017",Microsoft
22901,MS17-AUG1,Security Update for Windows Server 2008 (KB4034744),Missing,T8CTSP1,4034744,"Aug 8, 2017",Microsoft
22969,MS17-AUG6,Security update for SQL Server 2014 Service Pack 1 GDR (KB4019091) 64 bit,Missing,PCIBOJD1,4019091,"Aug 7, 2017",Microsoft
22977,MS17-AUG6,Security update for SQL Server 2016 RTM GDR (KB4019088) 64 bit,Missing,PCIRS100,4019088,"Aug 9, 2017",Microsoft
22977,MS17-AUG6,Security update for SQL Server 2016 RTM GDR (KB4019088) 64 bit,Missing,PCIRD100,4019088,"Aug 9, 2017",Microsoft
23051,MS17-SEP5,"KB4041093, 2017-09 Security Only Update for .NET Framework 2.0 on Windows Server 2008 SP2 (KB4040964)",Missing,T8CTSP1,4040964,"Sep 12, 2017",Microsoft
23064,MS17-SEP5,"KB4041090, 2017-09 Security Only Update for .NET Framework 3.5.1 on Windows 7 and Server 2008 R2 for x64 (KB4040966)",Missing,TOSQLS1,4040966,"Sep 12, 2017",Microsoft
23111,MS17-SEP7,Security Update for Windows Server 2008 (KB4039384),Missing,T8CTSP1,4039384,"Sep 12, 2017",Microsoft
23122,MS17-SEP7,Security Update for Windows Server 2008 (KB4032201),Missing,T8CTSP1,4032201,"Sep 12, 2017",Microsoft
23124,MS17-SEP7,Security Update for Windows Server 2008 (KB4039038),Missing,T8CTSP1,4039038,"Sep 12, 2017",Microsoft
23233,MS17-OCT3,Security Update for Windows Server 2008 (KB4042123),Missing,T8CTSP1,4042123,"Oct 10, 2017",Microsoft
23235,MS17-OCT3,Security Update for Windows Server 2008 (KB4042050),Missing,T8CTSP1,4042050,"Oct 10, 2017",Microsoft
23406,MS17-NOV3,Security Update for Windows Server 2008 (KB4046184),Missing,T8CTSP1,4046184,"Nov 14, 2017",Microsoft
23408,MS17-NOV3,Security Update for Windows Server 2008 (KB4047211),Missing,T8CTSP1,4047211,"Nov 14, 2017",Microsoft
23507,MS17-DEC2,2017-12 Security Update for Windows Server 2008 for x86-based Systems (KB4052303),Missing,T8CTSP1,4052303,"Dec 12, 2017",Microsoft
23613,MS18-JAN2,2018-01 Security Update for Windows Server 2008 for x86-based Systems  (KB4056942),Missing,T8CTSP1,4056942,"Jan 2, 2018",Microsoft
23685,MS18-JAN7,"KB4055272-2018-01 Security Only Update for .NET Framework 2.0, 3.0 on Windows Server 2008 SP2 (KB4054174)",Missing,T8CTSP1,4054183,"Jan 9, 2018",Microsoft
23685,MS18-JAN7,"KB4055272-2018-01 Security Only Update for .NET Framework 2.0, 3.0 on Windows Server 2008 SP2 (KB4054174)",Missing,T8FILP1,4054183,"Jan 9, 2018",Microsoft
23685,MS18-JAN7,"KB4055272-2018-01 Security Only Update for .NET Framework 2.0, 3.0 on Windows Server 2008 SP2 (KB4054174)",Missing,T8APPP1,4054183,"Jan 9, 2018",Microsoft
23698,MS18-JAN7,KB4055269-2018-01 Security Only Update for .NET Framework 3.5.1 on Windows 7 and Server 2008 R2 for x64 (KB4054176),Missing,T8MDCP1,4054176,"Jan 9, 2018",Microsoft
23698,MS18-JAN7,KB4055269-2018-01 Security Only Update for .NET Framework 3.5.1 on Windows 7 and Server 2008 R2 for x64 (KB4054176),Missing,T8XSWP1,4054176,"Jan 9, 2018",Microsoft
23698,MS18-JAN7,KB4055269-2018-01 Security Only Update for .NET Framework 3.5.1 on Windows 7 and Server 2008 R2 for x64 (KB4054176),Missing,T8WEBT1,4054176,"Jan 9, 2018",Microsoft
23698,MS18-JAN7,KB4055269-2018-01 Security Only Update for .NET Framework 3.5.1 on Windows 7 and Server 2008 R2 for x64 (KB4054176),Missing,TOSQLS1,4054176,"Jan 9, 2018",Microsoft
23700,MS18-JAN7,KB4055269-2018-01 Security Only Update for .NET Framework 4.5.2 on Windows 7 and Server 2008 R2 for x64 (KB4054172),Missing,T8XSWP1,4054172,"Jan 9, 2018",Microsoft
23702,MS18-JAN7,"KB4055269-2018-01 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 on Windows 7 and Server 2008 R2 for x64 (KB4054183)",Missing,PCISAPCLT,4054183,"Jan 9, 2018",Microsoft
23702,MS18-JAN7,"KB4055269-2018-01 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 on Windows 7 and Server 2008 R2 for x64 (KB4054183)",Missing,T8WEBT1,4054183,"Jan 9, 2018",Microsoft
23702,MS18-JAN7,"KB4055269-2018-01 Security Only Update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 on Windows 7 and Server 2008 R2 for x64 (KB4054183)",Missing,T8WAPD1,4054183,"Jan 9, 2018",Microsoft
23830,MS18-FEB2,2018-02 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems - Meltdown and Spectre(KB4074587),Missing,TOSQLS1,4074587,"Feb 12, 2018",Microsoft
23864,MS18-FEB4,2018-02 Security Update for Windows Server 2008 for x86-based Systems (KB4074851),Missing,T8CTSP1,4074851,"Feb 12, 2018",Microsoft
23872,MS18-FEB4,2018-02 Security Update for Windows Server 2008 for x86-based Systems (KB4073079),Missing,T8CTSP1,4073079,"Feb 12, 2018",Microsoft
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3APPP1,4019204,"Dec 20, 2019",Microsoft
